AROKATO;Nom;Etat2001;Dist2001;Longitude;Latitude;Stat_cap;Dist_Cap;Status U/R;Status D;1961;1981;1991;2001;2011
ARR591601;Agartala;16;1;91.2931;23.8379;1;0;U;TP;353412;537438;718426;774228;880035
ARR602117;Bhubaneswar;21;17;85.817;20.2703;1;0;U;M.CORP;98590;116237;217847;678417;849078
ARR61505;Dehradun;5;5;78.0411;30.3137;0;1;U;M.Corp;242070;340225;378490;611897;822600
ARR622721;Bhiwandi;27;21;73.05428;19.297693;0;0;U;M;276475;398847;535585;679448;813262
ARR632817;Guntur;28;17;80.4498;16.2915;0;1;U;M.CORP;282978;445500;561221;628807;790296
ARR642821;Kurnool;28;21;78.0452;15.83;0;1;U;M;169065;241218;280561;357295;764449
ARR65901;Saharanpur;9;1;77.540757;29.969056;0;1;U;M;213923;330612;416867;523993;733791
ARR66323;Mananthavady;32;3;76.0043;11.7949;0;0;U;R;291447;492066;559060;672938;716967
ARR671901;Siliguri;19;1;88.4214;26.6978;0;0;U;M.CORP;202505;276724;307155;598354;709866
ARR681014;Muzaffarpur;10;14;85.3905;26.1037;0;1;U;M.CORP;226350;411431;444025;568400;691021
ARR693402;Pondicherry;34;2;79.828411;11.936203;0;1;U;M;133767;248386;262087;569927;672644
ARR70958;Gorakhpur;9;58;83.359994;26.762378;0;1;U;M.CORPorp;350802;468082;535450;660682;671048
ARR71803;Bikaner;8;3;73.3296;28.0207;0;1;U;M;207479;406171;419418;533876;655392
ARR723310;Erode;33;10;77.727619;11.342207;0;1;U;M;255703;440398;488133;546379;651967
ARR732809;Warangal;28;9;79.601135;17.975601;0;1;U;M.CORP;270453;466850;486354;598497;651327
ARR742734;Kolhapur;27;34;74.2239;16.6964;0;1;U;M.CORP;305198;398127;470374;564138;650613
ARR752707;Amravati;27;7;77.755248;20.926654;0;1;U;M.CORP;205231;394675;421576;549510;646801
ARR762414;Bhavnagar;24;14;72.154541;21.766171;0;1;U;M.CORP;192482;389901;427832;545167;633790
ARR782823;Tirupati;28;23;79.4216;13.6338;0;0;U;M;200625;338880;379868;306982;627107
ARR79916;Firozabad;9;16;78.3979;27.1533;0;1;U;M;155928;254171;303863;481814;614895
ARR802112;Cuttack;21;12;85.9003;20.4573;0;1;U;M.CORP;274188;415141;446321;542176;614510
ARR812819;Nellore;28;19;79.984416;14.453515;0;1;U;M;172733;294601;383421;475655;590711
ARR82821;Ajmer;8;21;74.6376;26.4503;0;1;U;M;232652;405498;423031;515235;581448
