Idreg,REG,pays,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,Urb1959,Urb1970,Urb1979,Urb1989,Urb2002,Urb2010,1959,1970,1979,1989,2002,2010,TURB0,TURB11,TURB20,TURB30,TURB43,TURB51
UKR09,Zaporizhzhia,Ukraine,1464,1775,1946,2082,1929,1801,725.159,1063.989,1294.871,1476.873,1363.099,1305.264,49.5,60,66.5,70.9,70.7,72.5,7.4312380703,18.4312380703,27.4312380703,37.4312380703,50.4312380703,58.4312380703
UKR10,Ivano-Frankivsk,Ukraine,1095,1249,1332,1424,1410,1380,131.238,248.668,332.908,436.299,438.384,443.791,12,19.9,25,30.6,31.1,32.2,-82.9719747757,-71.9719747757,-62.9719747757,-52.9719747757,-39.9719747757,-31.9719747757
UKR112,KievX2,Ukraine,2823,3466,4068,4543,4439,4517,1405,2142,2822,3504,3545,3718,49.8,61.8,69.4,77.1,79.9,82.3,2.7623824375,13.7623824375,22.7623824375,32.7623824375,45.7623824375,53.7623824375
UKR13,Kirovograd,Ukraine,1218,1259,1251,1239,1133,1010,301.367,405.679,485.355,562.121,516.865,478.939,24.7,32.2,38.8,45.4,45.6,47.4,-50.6088626895,-39.6088626895,-30.6088626895,-20.6088626895,-7.6088626895,0.3911373105
UKR14,Lugansk,Ukraine,2452,2751,2787,2863,2546,2291,1440.958,1767.054,1884.624,2014.92,1785.534,1649.017,58.8,64.2,67.6,70.4,70.1,72,39.7640848683,50.7640848683,59.7640848683,69.7640848683,82.7640848683,90.7640848683
UKR15,Lviv,Ukraine,2108,2429,2584,2748,2627,2545,604.762,917.304,1140.712,1378.31,1308.162,1304.893,28.7,37.8,44.1,50.2,49.8,51.3,-40.7944966575,-29.7944966575,-20.7944966575,-10.7944966575,2.2055033425,10.2055033425
UKR16,Mykolaiv,Ukraine,1014,1148,1243,1331,1265,1183,364.918,523.332,627.178,766.351,738.095,715.313,36,45.6,50.5,57.6,58.4,60.5,-22.5819906178,-11.5819906178,-2.5819906178,7.4180093822,20.4180093822,28.4180093822
UKR17,Odessa,Ukraine,2027,2389,2544,2643,2469,2389,851.137,1190.007,1409.726,1552.388,1442.335,1429.736,42,49.8,55.4,58.7,58.4,59.9,-13.4099596989,-2.4099596989,6.5900403011,16.5900403011,29.5900403011,37.5900403011
UKR18,Poltava,Ukraine,1632,1706,1741,1753,1630,1488,400.624,572.519,737.92,852.313,840.126,806.887,24.6,33.6,42.4,48.6,51.5,54.2,-39.0271257098,-28.0271257098,-19.0271257098,-9.0271257098,3.9728742902,11.9728742902
UKR19,Rivne,Ukraine,926,1048,1121,1170,1173,1153,115.149,206.012,303.376,422.786,448.098,451.819,12.4,19.7,27.1,36.1,38.2,39.2,-62.0814770426,-51.0814770426,-42.0814770426,-32.0814770426,-19.0814770426,-11.0814770426
UKR20,Sumy,Ukraine,1514,1505,1463,1433,1300,1162,378.84,532.82,642.239,756.263,726.409,684.97,25,35.4,43.9,52.8,55.9,59,-32.8630587928,-21.8630587928,-12.8630587928,-2.8630587928,10.1369412072,18.1369412072
UKR21,Ternopil,Ukraine,1086,1153,1163,1169,1142,1084,95.176,158.105,240.013,325.32,346.596,337.877,8.8,13.7,20.6,27.8,30.3,31.2,-76.2162398665,-65.2162398665,-56.2162398665,-46.2162398665,-33.2162398665,-25.2162398665
UKR22,Kharkiv,Ukraine,2520,2826,3056,3195,2914,2755,1293.831,1652.936,1962.351,2181.138,1980.842,1933.102,51.3,58.5,64.2,68.3,68,70.2,10.3620400195,21.3620400195,30.3620400195,40.3620400195,53.3620400195,61.3620400195
UKR23,Kherson,Ukraine,824,1030,1163,1240,1175,1088,243.896,416.727,523.879,617.024,570.184,538.806,29.6,40.5,45,49.8,48.5,49.5,-43.4756186121,-32.4756186121,-23.4756186121,-13.4756186121,-0.4756186121,7.5243813879
UKR24,Khmelnitski,Ukraine,1611,1615,1558,1527,1431,1326,216.679,344.641,470.05,632.075,643.471,646.871,13.4,21.3,30.2,41.4,45,48.8,-48.5964894657,-37.5964894657,-28.5964894657,-18.5964894657,-5.5964894657,2.4035105343
UKR25,Cherkassy,Ukraine,1503,1535,1547,1532,1403,1285,307.182,463.071,579.677,689.363,660.486,639.946,20.4,30.2,37.5,45,47.1,49.8,-46.4204488888,-35.4204488888,-26.4204488888,-16.4204488888,-3.4204488888,4.5795511112
UKR26,Chernivtsi,Ukraine,774,845,890,938,923,904,164.709,209.378,242.883,294.094,276.982,286.988,21.3,24.8,27.3,31.4,30,31.7,-126.1835156255,-115.1835156255,-106.1835156255,-96.1835156255,-83.1835156255,-75.1835156255
UKR27,Chernigov,Ukraine,1554,1560,1502,1416,1245,1098,253.822,366.357,511.892,600.234,585.515,562.117,16.3,23.5,34.1,42.4,47,51.2,-46.0158367306,-35.0158367306,-26.0158367306,-16.0158367306,-3.0158367306,4.9841632694
