Idreg,REG,pays,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,Urb1959,Urb1970,Urb1979,Urb1989,Urb2002,Urb2010,1959,1970,1979,1989,2002,2010,TURB0,TURB11,TURB20,TURB30,TURB43,TURB51
OUZ00,Ouzbékistan,Ouzbékistan,8106,11799,15389,19810,25116,27736,2097.002,3205.944,5512.026,7922.884,9176.157,10143.852,25.9,27.2,35.8,40,36.5,36.6,-93.3092175428,-82.3092175428,-73.3092175428,-63.3092175428,-50.3092175428,-42.3092175428
RUS02,Altai,Russie,2683,2670,2675,2631,2810,2626,777.4,1062.344,1234.356,1408.42,1412.201,1369.881,29,39.8,46.2,53.5,50.2,52.2,-37.335771335,-26.335771335,-17.335771335,-7.335771335,5.664228665,13.664228665
RUS04,Amour,Russie,718,793,937,1050,903,830,274.777,364.218,490.825,572.379,516.908,486.355,38.3,45.9,52.4,54.5,57.3,58.6,-22.656792245,-11.656792245,-2.656792245,7.343207755,20.343207755,28.343207755
RUS05,Arkhangelsk,Russie,1276,1401,1467,1570,1337,1228,525.24,746.568,881.042,979.861,874.646,847.407,41.2,53.3,60.1,62.4,65.4,69,-8.5056057233,2.4943942767,11.4943942767,21.4943942767,34.4943942767,42.4943942767
RUS06,Astrakhan,Russie,702,867,916,992,1005,1010,318.1,468.3,539.5,604.3,627.661,637.803,45.3,54,58.9,60.9,62.4,63.1,-3.0141583945,7.9858416055,16.9858416055,26.9858416055,39.9858416055,47.9858416055
RUS07,Bachkirie,Russie,3342,3818,3849,3943,4104,4072,1165.419,1685.503,2044.525,2358.209,2449.378,2461.493,34.9,44.1,53.1,59.8,59.7,60.4,-21.5876038187,-10.5876038187,-1.5876038187,8.4123961813,21.4123961813,29.4123961813
RUS08,Belgorod,Russie,1226,1261,1305,1378,1512,1533,196.486,375.445,592.246,759.55,865.713,906.063,16,29.8,45.4,55.1,57.3,59.1,-33.046975787,-22.046975787,-13.046975787,-3.046975787,9.953024213,17.953024213
RUS10,Bouriatie,Russie,673,812,901,1038,981,972,210.9,305.533,391.12,485.643,485.452,510.704,31.3,37.6,43.4,46.8,49.5,52.5,-42.0658990991,-31.0658990991,-22.0658990991,-12.0658990991,0.9341009009,8.9341009009
RUS11,Bryansk,Russie,1550,1582,1507,1470,1379,1278,395.742,607.107,736.277,827.895,797.993,758.545,25.5,38.4,48.9,56.3,57.9,59.3,-29.1616330053,-18.1616330053,-9.1616330053,0.8383669947,13.8383669947,21.8383669947
RUS12,Carélie,Russie,651,713,736,790,716,644,237.4,328.8,400.5,469.3,444.467,425.124,36.4,46.1,54.4,59.4,62.1,66.1,-18.2720818507,-7.2720818507,1.7279181493,11.7279181493,24.7279181493,32.7279181493
RUS13,Daguestan,Russie,1062,1429,1628,1802,2577,2910,306.365,454.6,601.116,738.92,1035.427,1296.729,28.8,31.8,36.9,41,40.2,44.6,-67.6946849251,-56.6946849251,-47.6946849251,-37.6946849251,-24.6946849251,-16.6946849251
